al_geselecteerd;volgorde;sampling_unit_code;point_code;field_code;grts_ranking;grts_ranking_draw;sac_streams;type_meetpunt;prop_3260;datum_opname_cyclus1;x;y
TRUE;1;1_7_20153;69106_1;Maas_29;21040626;69106;intersecting or downstream;Bestaand meetpunt;100;2020-08-19;246631,5000000000;181898,760000000
TRUE;2;1_7_7733;426066_1;Maas_30;426066;426066;intersecting or downstream;Bestaand meetpunt;100;2020-08-20;249112,6200000000;195569,250000000
FALSE;3;2023_39077;707042_1;NA;707042;707042;intersecting or downstream;Nieuw meetpunt;100;NA;251726,7902656541;202903,134418656
FALSE;4;2023_238538;784658_1;Dommel_04;61602066;784658;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;100;2015-06-25;223125,1443551916;216287,619419915
FALSE;5;2023_218778;871858_1;NA;871858;871858;intersecting or downstream;Nieuw meetpunt;34;NA;248482,7683817031;161799,050280462
FALSE;6;2023_213783;923730_1;NA;923730;923730;intersecting or downstream;Nieuw meetpunt;100;NA;245036,0796312619;198473,474046059
TRUE;7;1_7_8855;1237410_1;Maas_33;53666210;1237410;intersecting or downstream;Bestaand meetpunt;100;2020-08-20;251440,5400000000;199236,090000000
FALSE;8;2023_197911;1685846_1;NA;1685846;1685846;intersecting or downstream;Nieuw meetpunt;57;NA;184384,7370521381;189776,495186350
FALSE;10;2023_39231;1917010_1;Maas_04;15548498;1917010;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;100;2018-08-08;248241,8383789210;194045,592674231
FALSE;11;2023_39328;2221394_1;Maas_16;46589266;2221394;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;100;2018-08-08;246187,4866765673;186314,834986381
FALSE;12;2023_238623;2992914_1;Dommel_06;57518866;2992914;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;34;2017-07-17;224840,4711116486;209855,878593586
TRUE;13;1_4_1852;3197426_1;Maas_24;38930930;3197426;intersecting or downstream;Bestaand meetpunt;100;2019-08-14;245288,1200000000;178665,020000000
FALSE;14;2023_194175;3210678_1;NA;3210678;3210678;intersecting or downstream;Nieuw meetpunt;100;NA;202607,0552639877;191286,155154906
TRUE;15;1_7_20152;3214834_1;Maas_36;50400754;3214834;intersecting or downstream;Bestaand meetpunt;100;2020-08-19;246593,6800000000;181806,040000000
FALSE;16;2023_259138;3378422_1;NA;3378422;3378422;intersecting or downstream;Nieuw meetpunt;100;NA;200363,9941596118;215751,807474144
TRUE;17;1_7_20150;3598834_1;Maas_38;20376050;3598834;intersecting or downstream;Bestaand meetpunt;100;2020-08-19;246529,9600000000;181616,260000000
FALSE;18;2023_167912;3864710_1;NA;3864710;3864710;intersecting or downstream;Nieuw meetpunt;49;NA;185085,0790293474;180627,555129386
FALSE;19;2023_175052;3991617_1;NA;3991617;3991617;intersecting or downstream;Nieuw meetpunt;100;NA;74382,9658684711;200498,593251944
FALSE;20;2023_238592;4092178_1;NA;4092178;4092178;intersecting or downstream;Nieuw meetpunt;100;NA;224606,8505738775;212588,252127655
TRUE;21;1_7_7743;4268114_1;Maas_40;4268114;4268114;intersecting or downstream;Bestaand meetpunt;100;2020-08-20;250024,6800000000;195291,000000000
TRUE;22;1_7_8851;4324434_1;Maas_41;25820242;4324434;intersecting or downstream;Bestaand meetpunt;100;2020-08-20;251076,1400000000;199397,280000000
FALSE;23;2023_200563;4405142_1;NA;4405142;4405142;intersecting or downstream;Nieuw meetpunt;100;NA;167041,0983999968;212998,408399999
FALSE;24;2023_39225;4440146_1;NA;21217362;4440146;intersecting or downstream;Nieuw meetpunt;100;NA;248386,2359005341;194624,048195464
FALSE;25;2023_218768;4492722_1;NA;4492722;4492722;intersecting or downstream;Nieuw meetpunt;100;NA;247555,7778286383;162043,357006504
FALSE;26;2023_39094;4623442_1;NA;25594962;4623442;intersecting or downstream;Nieuw meetpunt;100;NA;250811,5028129468;201503,029439325
FALSE;27;2023_39327;4646226_1;NA;4646226;4646226;intersecting or downstream;Nieuw meetpunt;100;NA;246276,1144778115;186359,902695816
FALSE;28;2023_39373;4677106_1;NA;29842930;4677106;intersecting or downstream;Nieuw meetpunt;100;NA;246461,2895931204;184204,159409273
FALSE;29;2023_260213;4678802_1;NA;14115986;4678802;intersecting or downstream;Nieuw meetpunt;100;NA;240024,1272502776;206269,294403858
FALSE;30;2023_90379;4767134_1;NA;4767134;4767134;intersecting or downstream;Nieuw meetpunt;100;NA;179053,8652434974;232075,636656262
FALSE;31;2023_5616;4771806_1;NA;63492062;4771806;intersecting or downstream;Nieuw meetpunt;100;NA;158524,2320738641;224509,800604145
FALSE;32;2023_224930;4777846_1;NA;4777846;4777846;intersecting or downstream;Nieuw meetpunt;91;NA;207620,1679770209;205725,984764116
FALSE;33;2023_45964;4834166_1;NA;4834166;4834166;intersecting or downstream;Nieuw meetpunt;100;NA;209088,2515107787;206385,418369400
FALSE;34;2023_218812;4965042_1;NA;38519474;4965042;intersecting or downstream;Nieuw meetpunt;100;NA;250960,5485468807;161115,479226149
FALSE;35;2023_33414;5012950_1;NA;5012950;5012950;intersecting or downstream;Nieuw meetpunt;100;NA;182998,0380458760;215877,526368371
FALSE;36;2023_90386;5062046_1;NA;7421342;5062046;intersecting or downstream;Nieuw meetpunt;100;NA;179451,8470522977;231738,435686004
FALSE;37;2023_213781;5118034_1;NA;60692562;5118034;intersecting or downstream;Nieuw meetpunt;100;NA;245189,8560090438;198443,574145091
FALSE;38;2023_260203;5136530_1;NA;58089618;5136530;intersecting or downstream;Nieuw meetpunt;77;NA;240929,0198814454;206525,808173533
FALSE;39;2023_224809;5230070_1;NA;62377462;5230070;intersecting or downstream;Nieuw meetpunt;100;NA;199128,3791943871;203493,802471493
FALSE;40;2023_255353;5288466_1;NA;55620114;5288466;intersecting or downstream;Nieuw meetpunt;100;NA;228560,5328132627;214937,681383396
FALSE;1;2023_5598;526302_1;NA;526302;526302;outside;Nieuw meetpunt;100;NA;156852,5340582685;224961,517261997
FALSE;2;2023_5591;722910_1;NA;722910;722910;outside;Nieuw meetpunt;100;NA;156260,8469496077;225324,644966445
FALSE;3;2023_206654;1530742_1;NA;1530742;1530742;outside;Nieuw meetpunt;100;NA;203221,5617415654;209363,046892112
FALSE;4;2023_255481;1553426_1;NA;1553426;1553426;outside;Nieuw meetpunt;35;NA;228507,8254629602;204886,152834545
FALSE;5;2023_143992;1593558_1;NA;1593558;1593558;outside;Nieuw meetpunt;100;NA;173334,8184927291;211184,040967086
FALSE;6;2023_206723;2505846_1;NA;2505846;2505846;outside;Nieuw meetpunt;100;NA;208783,0456856114;211212,785060196
FALSE;7;2023_5561;2516958_1;NA;2516958;2516958;outside;Nieuw meetpunt;100;NA;153581,6194522178;226391,971396957
TRUE;8;1_4_1139;3041246_1;AntGr_02;3041246;3041246;outside;Bestaand meetpunt;100;2021-07-19;153280,7700000000;226346,540000000
TRUE;9;1_4_24;3048322_1;Voer_09;19825538;3048322;outside;Bestaand meetpunt;100;2021-07-23;251834,1500000000;160681,430000000
TRUE;10;1_4_1179;3153014_1;SchNe_07;19930230;3153014;outside;Bestaand meetpunt;100;2021-07-07;206504,2500000000;210593,650000000
TRUE;11;1_4_1434;3792430_1;LoeNe_04;58383918;3792430;outside;Bestaand meetpunt;100;2021-07-22;200186,0900000000;220139,540000000
FALSE;12;2023_5592;3868638_1;NA;3868638;3868638;outside;Nieuw meetpunt;100;NA;156357,4362796287;225298,768736586
FALSE;13;1_4_63;4055250_1;Dommel_14;4055250;4055250;outside;Bestaand meetpunt;100;2021-07-26;226051,3900000000;200386,410000000
FALSE;14;2023_209488;4206034_1;NA;4206034;4206034;outside;Nieuw meetpunt;100;NA;229171,1470833927;186206,157286652
FALSE;15;2023_252561;4217718_1;NA;16800630;4217718;outside;Nieuw meetpunt;100;NA;202382,4803883740;208535,254783039
FALSE;16;2023_104298;4241758_1;NA;4241758;4241758;outside;Nieuw meetpunt;67;NA;175799,9925019062;237042,598324169
FALSE;17;2023_250732;4247526_1;NA;37801958;4247526;outside;Nieuw meetpunt;56;NA;206862,3607584656;184245,175351156
FALSE;18;2023_226460;4377874_1;NA;4377874;4377874;outside;Nieuw meetpunt;100;NA;221388,9576638900;211285,594779582
FALSE;19;2023_218822;4424578_1;NA;56853378;4424578;outside;Nieuw meetpunt;102;NA;251777,7828598862;160895,820979659
FALSE;20;2023_40024;4478366_1;NA;4478366;4478366;outside;Nieuw meetpunt;35;NA;184668,0761573504;233889,180467830
FALSE;21;2023_201260;4500694_1;NA;39103702;4500694;outside;Nieuw meetpunt;41;NA;171175,6093622189;218202,277621188
FALSE;22;2023_113049;4583670_1;NA;55963894;4583670;outside;Nieuw meetpunt;100;NA;196806,1752415506;211282,907739027
FALSE;23;2023_46042;4590198_1;NA;17173110;4590198;outside;Nieuw meetpunt;100;NA;215726,0091497179;208745,898619604
FALSE;24;2023_206738;4881526_1;NA;4881526;4881526;outside;Nieuw meetpunt;83;NA;209746,6125170125;211964,702102170
FALSE;25;2023_252510;4979190_1;NA;38533622;4979190;outside;Nieuw meetpunt;100;NA;199083,6946246901;207090,061601847
FALSE;26;2023_240902;5505106_1;NA;5505106;5505106;outside;Nieuw meetpunt;38;NA;247938,7976532531;195191,428116393
FALSE;27;2023_46037;5589622_1;NA;1395318;5589622;outside;Nieuw meetpunt;100;NA;215232,2228337059;208667,986911920
FALSE;28;2023_230706;5593042_1;NA;5593042;5593042;outside;Nieuw meetpunt;100;NA;227436,0655080393;199478,062115912
FALSE;29;2023_252550;5655030_1;NA;5655030;5655030;outside;Nieuw meetpunt;63;NA;201743,9846778521;207792,532466036
FALSE;30;2023_169150;5856006_1;NA;5856006;5856006;outside;Nieuw meetpunt;98;NA;160986,0744000003;157472,147399999
FALSE;31;2023_219276;5951681_1;NA;1757377;5951681;outside;Nieuw meetpunt;100;NA;86676,0077422305;208059,610284059
FALSE;32;2023_5576;6072286_1;NA;61646814;6072286;outside;Nieuw meetpunt;100;NA;155019,0259925759;226030,816848078
FALSE;33;2023_206706;6249590_1;NA;6249590;6249590;outside;Nieuw meetpunt;100;NA;207523,6680650752;210721,751185314
FALSE;34;2023_144038;6644950_1;NA;15344854;6644950;outside;Nieuw meetpunt;100;NA;176639,2116636247;212093,970120315
FALSE;35;2023_113037;6725878_1;NA;6725878;6725878;outside;Nieuw meetpunt;100;NA;195945,5680881561;210788,418064727
FALSE;36;2023_209483;6827474_1;NA;34740786;6827474;outside;Nieuw meetpunt;100;NA;228977,0687320131;185804,448964897
FALSE;37;2023_166826;6929966_1;NA;6929966;6929966;outside;Nieuw meetpunt;100;NA;201956,3579481544;221057,530883777
FALSE;38;2023_226468;6954258_1;NA;5033234;6954258;outside;Nieuw meetpunt;100;NA;220697,1212449948;210904,595381784
FALSE;39;2023_144004;7115990_1;NA;7115990;7115990;outside;Nieuw meetpunt;100;NA;174409,6734651331;211353,378652013
FALSE;40;2023_255433;7241746_1;NA;28344338;7241746;outside;Nieuw meetpunt;39;NA;229128,7711263149;208882,537254075
